# Volume injected (mL),pressure (bar)
2.104752290083333310e+00,1.769748708000000059e+00
2.104718956750000203e+00,1.761061302000000106e+00
2.104685623416666651e+00,1.765198162000000348e+00
2.104652290083333099e+00,1.761061302000000106e+00
2.104618956749999548e+00,1.763129732000000116e+00
2.104585623416666440e+00,1.758992872000000096e+00
2.104552290083333332e+00,1.761061302000000106e+00
2.104518956749999781e+00,1.765198162000000348e+00
2.104485623416666673e+00,1.767266592000000358e+00
2.104452290083333565e+00,1.767266592000000358e+00
2.104418956749999570e+00,1.758992872000000096e+00
2.104385623416666462e+00,1.767266592000000358e+00
2.104352290083332910e+00,1.761061302000000106e+00
2.104318956749999803e+00,1.767266592000000358e+00
2.104285623416666695e+00,1.758992872000000096e+00
2.104252290083333143e+00,1.767266592000000358e+00
2.104218956750000036e+00,1.769748708000000059e+00
2.104185623416666928e+00,1.761061302000000106e+00
2.104152290083332932e+00,1.761061302000000106e+00
2.104118956749999825e+00,1.769748708000000059e+00
2.104085623416666273e+00,1.761061302000000106e+00
2.104052290083333165e+00,1.761061302000000106e+00
2.104018956750000058e+00,1.763129732000000116e+00
2.103985623416666506e+00,1.763129732000000116e+00
2.103952290083333398e+00,1.761061302000000106e+00
2.103918956750000291e+00,1.761061302000000106e+00
2.103885623416666295e+00,1.761061302000000106e+00
2.103852290083333187e+00,1.763129732000000116e+00
2.103818956749999636e+00,1.761061302000000106e+00
2.103785623416666528e+00,1.761061302000000106e+00
2.103752290083333421e+00,1.767266592000000358e+00
2.103718956749999869e+00,1.767266592000000358e+00
2.103685623416666761e+00,1.761061302000000106e+00
2.103652290083332765e+00,1.761061302000000106e+00
2.103618956749999658e+00,1.761061302000000106e+00
2.103585623416666550e+00,1.761061302000000106e+00
2.103552290083332998e+00,1.761061302000000106e+00
2.103518956749999891e+00,1.761061302000000106e+00
2.103485623416666783e+00,1.765198162000000348e+00
2.103452290083333232e+00,1.761061302000000106e+00
2.103418956750000124e+00,1.761061302000000106e+00
2.103385623416666128e+00,1.758992872000000096e+00
2.103352290083333020e+00,1.761061302000000106e+00
2.103318956749999913e+00,1.763129732000000116e+00
2.103285623416666361e+00,1.761061302000000106e+00
2.103252290083333254e+00,1.761061302000000106e+00
2.103218956750000146e+00,1.761061302000000106e+00
2.103185623416666594e+00,1.761061302000000106e+00
2.103152290083333043e+00,1.761061302000000106e+00
2.103118956749999491e+00,1.758992872000000096e+00
2.103085623416666383e+00,1.758992872000000096e+00
2.103052290083333276e+00,1.756924442000000086e+00
2.103018956749999724e+00,1.758992872000000096e+00
2.102985623416666616e+00,1.761061302000000106e+00
2.102952290083333509e+00,1.761061302000000106e+00
2.102918956749999957e+00,1.761061302000000106e+00
2.102885623416666405e+00,1.761061302000000106e+00
2.102852290083332853e+00,1.761061302000000106e+00
2.102818956749999746e+00,1.758992872000000096e+00
2.102785623416666638e+00,1.761061302000000106e+00
2.102752290083333087e+00,1.761061302000000106e+00
2.102718956749999979e+00,1.761061302000000106e+00
2.102685623416666871e+00,1.758992872000000096e+00
2.102652290083333320e+00,1.761061302000000106e+00
2.102618956749999768e+00,1.758992872000000096e+00
2.102585623416666216e+00,1.761061302000000106e+00
2.102552290083333109e+00,1.758992872000000096e+00
2.102518956750000001e+00,1.756924442000000086e+00
2.102485623416666449e+00,1.758992872000000096e+00
2.102452290083333342e+00,1.761061302000000106e+00
2.102418956750000234e+00,1.761061302000000106e+00
2.102385623416666238e+00,1.761061302000000106e+00
2.102352290083333131e+00,1.761061302000000106e+00
2.102318956749999579e+00,1.758992872000000096e+00
2.102285623416666471e+00,1.758992872000000096e+00
2.102252290083333364e+00,1.758992872000000096e+00
2.102218956749999812e+00,1.761061302000000106e+00
2.102185623416666704e+00,1.754856012000000298e+00
2.102152290083333597e+00,1.752787582000000288e+00
2.102118956749999601e+00,1.758992872000000096e+00
2.102085623416666493e+00,1.758992872000000096e+00
2.102052290083332942e+00,1.758992872000000096e+00
