# Volume [mL],Pressure [Bar]
2.568388019666666189e+00,1.199410710000000080e+01
2.568354686333333081e+00,1.197204390000000096e+01
2.568321352999999974e+00,1.195825440000000128e+01
2.568288019666666422e+00,1.197893864999999991e+01
2.568254686333333314e+00,1.187965425000000153e+01
2.568221353000000207e+00,1.188792795000000169e+01
2.568188019666666655e+00,1.195825440000000128e+01
2.568154686333333103e+00,1.201479134999999943e+01
2.568121352999999552e+00,1.203547559999999983e+01
2.568088019666666444e+00,1.194446490000000161e+01
2.568054686333333336e+00,1.187965425000000153e+01
2.568021352999999785e+00,1.198583340000000064e+01
2.567988019666666677e+00,1.189482270000000064e+01
2.567954686333333569e+00,1.195135965000000056e+01
2.567921352999999574e+00,1.200100184999999975e+01
2.567888019666666466e+00,1.188792795000000169e+01
2.567854686333332914e+00,1.187275950000000080e+01
2.567821352999999807e+00,1.196514915000000023e+01
2.567788019666666699e+00,1.197204390000000096e+01
2.567754686333333147e+00,1.204237035000000233e+01
2.567721353000000040e+00,1.194446490000000161e+01
2.567688019666666932e+00,1.190861220000000031e+01
2.567654686333332936e+00,1.202168610000000015e+01
2.567621352999999829e+00,1.196514915000000023e+01
2.567588019666666277e+00,1.189482270000000064e+01
2.567554686333333169e+00,1.195825440000000128e+01
2.567521353000000062e+00,1.199410710000000080e+01
2.567488019666666510e+00,1.187275950000000080e+01
2.567454686333333402e+00,1.187275950000000080e+01
2.567421353000000295e+00,1.202168610000000015e+01
2.567388019666666299e+00,1.195825440000000128e+01
2.567354686333333191e+00,1.199410710000000080e+01
2.567321352999999640e+00,1.190861220000000031e+01
2.567288019666666532e+00,1.196514915000000023e+01
2.567254686333333424e+00,1.195135965000000056e+01
2.567221352999999873e+00,1.190861220000000031e+01
2.567188019666666765e+00,1.196514915000000023e+01
2.567154686333332769e+00,1.199410710000000080e+01
2.567121352999999662e+00,1.186586475000000185e+01
2.567088019666666554e+00,1.188792795000000169e+01
2.567054686333333002e+00,1.195135965000000056e+01
2.567021352999999895e+00,1.196514915000000023e+01
2.566988019666666787e+00,1.196514915000000023e+01
2.566954686333333235e+00,1.195135965000000056e+01
2.566921353000000128e+00,1.190861220000000031e+01
2.566888019666666132e+00,1.191550695000000104e+01
2.566854686333333024e+00,1.195135965000000056e+01
2.566821352999999917e+00,1.195135965000000056e+01
2.566788019666666365e+00,1.200789660000000048e+01
