# Volume [mL],Pressure [Bar]
1.211908333333333387e-05,4.136860000000000775e-04
4.545241666666666880e-05,2.482116000000000357e-03
7.878574999999999695e-05,2.482116000000000357e-03
1.121190833333333319e-04,2.482116000000000357e-03
1.454524166666666533e-04,2.482116000000000357e-03
1.787857499999999746e-04,2.482116000000000357e-03
2.121190833333333231e-04,4.550545999999999931e-03
2.454524166666666174e-04,2.482116000000000357e-03
2.787857499999999659e-04,6.618976000000001240e-03
3.121190833333333144e-04,2.482116000000000357e-03
3.454524166666666628e-04,4.136860000000000775e-04
3.787857500000000113e-04,4.136860000000000775e-04
4.121190833333333598e-04,4.550545999999999931e-03
4.454524166666665999e-04,2.482116000000000357e-03
4.787857499999999484e-04,4.136860000000000775e-04
5.121190833333332968e-04,4.136860000000000775e-04
5.454524166666666453e-04,2.482116000000000357e-03
5.787857499999999938e-04,2.482116000000000357e-03
6.121190833333332339e-04,2.482116000000000357e-03
6.454524166666665824e-04,2.482116000000000357e-03
6.787857499999999308e-04,4.550545999999999931e-03
7.121190833333332793e-04,4.136860000000000775e-04
7.454524166666666278e-04,-1.654744000000000310e-03
7.787857499999999763e-04,4.136860000000000775e-04
8.121190833333333248e-04,2.482116000000000357e-03
8.454524166666665648e-04,2.482116000000000357e-03
8.787857500000000217e-04,4.550545999999999931e-03
9.121190833333332618e-04,-1.654744000000000310e-03
9.454524166666667187e-04,-1.654744000000000310e-03
9.787857499999998503e-04,4.550545999999999931e-03
1.012119083333333199e-03,-1.654744000000000310e-03
1.045452416666666547e-03,4.550545999999999931e-03
1.078785749999999896e-03,4.550545999999999931e-03
1.112119083333333244e-03,2.482116000000000357e-03
1.145452416666666593e-03,2.482116000000000357e-03
1.178785749999999941e-03,6.618976000000001240e-03
1.212119083333333290e-03,4.136860000000000775e-04
1.245452416666666638e-03,2.482116000000000357e-03
1.278785749999999987e-03,2.482116000000000357e-03
1.312119083333333118e-03,-3.723174000000000101e-03
1.345452416666666467e-03,2.482116000000000357e-03
1.378785750000000032e-03,2.482116000000000357e-03
1.412119083333333381e-03,4.136860000000000775e-04
1.445452416666666512e-03,2.482116000000000357e-03
1.478785749999999861e-03,4.550545999999999931e-03
1.512119083333333426e-03,6.618976000000001240e-03
1.545452416666666558e-03,2.482116000000000357e-03
1.578785749999999906e-03,2.482116000000000357e-03
1.612119083333333255e-03,4.550545999999999931e-03
1.645452416666666386e-03,4.136860000000000775e-04
1.678785749999999952e-03,4.550545999999999931e-03
1.712119083333333300e-03,2.482116000000000357e-03
1.745452416666666649e-03,4.550545999999999931e-03
1.778785749999999780e-03,-1.654744000000000310e-03
1.812119083333333346e-03,6.618976000000001240e-03
1.845452416666666694e-03,4.136860000000000775e-04
1.878785749999999826e-03,2.482116000000000357e-03
1.912119083333333174e-03,4.550545999999999931e-03
1.945452416666666740e-03,6.618976000000001240e-03
1.978785749999999871e-03,4.550545999999999931e-03
2.012119083333333003e-03,4.136860000000000775e-04
2.045452416666666568e-03,4.136860000000000775e-04
2.078785750000000133e-03,2.482116000000000357e-03
2.112119083333333265e-03,6.618976000000001240e-03
2.145452416666666397e-03,4.550545999999999931e-03
2.178785749999999962e-03,2.482116000000000357e-03
2.212119083333333094e-03,4.550545999999999931e-03
2.245452416666666659e-03,2.482116000000000357e-03
2.278785749999999791e-03,4.550545999999999931e-03
2.312119083333332922e-03,2.482116000000000357e-03
2.345452416666666488e-03,4.550545999999999931e-03
2.378785750000000053e-03,2.482116000000000357e-03
2.412119083333333185e-03,-3.723174000000000101e-03
2.445452416666666316e-03,4.550545999999999931e-03
2.478785749999999882e-03,2.482116000000000357e-03
2.512119083333333447e-03,2.482116000000000357e-03
2.545452416666666579e-03,2.482116000000000357e-03
2.578785749999999710e-03,4.550545999999999931e-03
2.612119083333333276e-03,2.482116000000000357e-03
2.645452416666666407e-03,4.550545999999999931e-03
2.678785749999999972e-03,4.550545999999999931e-03
2.712119083333333104e-03,4.550545999999999931e-03
2.745452416666666236e-03,6.618976000000001240e-03
2.778785750000000235e-03,9.101091999999999863e-03
2.812119083333333366e-03,2.482116000000000357e-03
2.845452416666666498e-03,4.136860000000000775e-04
2.878785750000000063e-03,4.550545999999999931e-03
2.912119083333333195e-03,2.482116000000000357e-03
2.945452416666666327e-03,2.482116000000000357e-03
2.978785749999999892e-03,6.618976000000001240e-03
3.012119083333333024e-03,2.482116000000000357e-03
3.045452416666666155e-03,2.482116000000000357e-03
3.078785750000000154e-03,4.136860000000000775e-04
3.112119083333333286e-03,4.136860000000000775e-04
3.145452416666666418e-03,4.550545999999999931e-03
3.178785749999999983e-03,2.482116000000000357e-03
3.212119083333333115e-03,4.550545999999999931e-03
3.245452416666666246e-03,6.618976000000001240e-03
3.278785749999999811e-03,4.136860000000000775e-04
3.312119083333332943e-03,-1.654744000000000310e-03
3.345452416666666942e-03,2.482116000000000357e-03
3.378785750000000074e-03,4.550545999999999931e-03
3.412119083333333205e-03,2.482116000000000357e-03
3.445452416666666771e-03,4.136860000000000775e-04
3.478785749999999902e-03,2.482116000000000357e-03
3.512119083333333034e-03,6.618976000000001240e-03
3.545452416666666599e-03,4.136860000000000775e-04
3.578785749999999731e-03,4.136860000000000775e-04
3.612119083333332863e-03,4.550545999999999931e-03
3.645452416666666862e-03,2.482116000000000357e-03
3.678785749999999993e-03,4.550545999999999931e-03
3.712119083333333125e-03,4.550545999999999931e-03
3.745452416666666690e-03,4.550545999999999931e-03
3.778785749999999822e-03,2.482116000000000357e-03
3.812119083333332954e-03,4.550545999999999931e-03
3.845452416666666519e-03,4.550545999999999931e-03
3.878785749999999651e-03,4.136860000000000775e-04
3.912119083333332782e-03,2.482116000000000357e-03
3.945452416666666781e-03,-1.654744000000000310e-03
3.978785749999999913e-03,4.136860000000000775e-04
4.012119083333333044e-03,4.550545999999999931e-03
4.045452416666666176e-03,4.550545999999999931e-03
4.078785749999999308e-03,2.482116000000000357e-03
4.112119083333333307e-03,4.136860000000000775e-04
4.145452416666666438e-03,4.136860000000000775e-04
4.178785749999999570e-03,2.482116000000000357e-03
4.212119083333333569e-03,4.550545999999999931e-03
4.245452416666666701e-03,2.482116000000000357e-03
4.278785749999999832e-03,4.136860000000000775e-04
4.312119083333332964e-03,4.550545999999999931e-03
4.345452416666666096e-03,4.136860000000000775e-04
4.378785749999999227e-03,4.550545999999999931e-03
4.412119083333333226e-03,4.550545999999999931e-03
4.445452416666666358e-03,4.550545999999999931e-03
4.478785749999999490e-03,2.482116000000000357e-03
4.512119083333333489e-03,2.482116000000000357e-03
4.545452416666666620e-03,4.550545999999999931e-03
4.578785749999999752e-03,2.482116000000000357e-03
4.612119083333332883e-03,4.550545999999999931e-03
4.645452416666666015e-03,-1.654744000000000310e-03
4.678785749999999147e-03,2.482116000000000357e-03
4.712119083333333146e-03,2.482116000000000357e-03
4.745452416666666277e-03,6.618976000000001240e-03
4.778785750000000276e-03,2.482116000000000357e-03
4.812119083333333408e-03,2.482116000000000357e-03
4.845452416666666540e-03,2.482116000000000357e-03
4.878785749999999671e-03,4.550545999999999931e-03
4.912119083333332803e-03,2.482116000000000357e-03
4.945452416666665935e-03,4.550545999999999931e-03
4.978785749999999934e-03,6.618976000000001240e-03
5.012119083333333065e-03,4.550545999999999931e-03
5.045452416666666197e-03,4.136860000000000775e-04
5.078785750000000196e-03,-1.654744000000000310e-03
5.112119083333333328e-03,2.482116000000000357e-03
5.145452416666666459e-03,4.136860000000000775e-04
5.178785749999999591e-03,4.136860000000000775e-04
5.212119083333332722e-03,2.482116000000000357e-03
5.245452416666665854e-03,-1.654744000000000310e-03
5.278785749999998986e-03,4.136860000000000775e-04
5.312119083333333852e-03,4.550545999999999931e-03
5.345452416666666984e-03,4.136860000000000775e-04
5.378785750000000115e-03,4.550545999999999931e-03
5.412119083333333247e-03,2.482116000000000357e-03
5.445452416666666379e-03,2.482116000000000357e-03
5.478785749999999510e-03,2.482116000000000357e-03
5.512119083333333509e-03,9.101091999999999863e-03
5.545452416666666641e-03,4.550545999999999931e-03
5.578785749999999773e-03,4.550545999999999931e-03
5.612119083333332904e-03,6.618976000000001240e-03
5.645452416666666036e-03,2.482116000000000357e-03
5.678785749999999168e-03,2.482116000000000357e-03
5.712119083333333167e-03,4.136860000000000775e-04
5.745452416666666298e-03,-1.654744000000000310e-03
5.778785749999999430e-03,2.482116000000000357e-03
5.812119083333332561e-03,4.136860000000000775e-04
5.845452416666665693e-03,2.482116000000000357e-03
5.878785750000000560e-03,4.550545999999999931e-03
5.912119083333333691e-03,2.482116000000000357e-03
5.945452416666666823e-03,6.618976000000001240e-03
5.978785749999999954e-03,4.550545999999999931e-03
6.012119083333333086e-03,4.550545999999999931e-03
6.045452416666666218e-03,2.482116000000000357e-03
6.078785750000000217e-03,2.482116000000000357e-03
6.112119083333333348e-03,6.618976000000001240e-03
6.145452416666666480e-03,-1.654744000000000310e-03
6.178785749999999612e-03,4.550545999999999931e-03
6.212119083333332743e-03,4.550545999999999931e-03
6.245452416666665875e-03,4.136860000000000775e-04
6.278785749999999874e-03,2.482116000000000357e-03
6.312119083333333006e-03,2.482116000000000357e-03
6.345452416666666137e-03,6.618976000000001240e-03
6.378785749999999269e-03,4.550545999999999931e-03
6.412119083333332401e-03,2.482116000000000357e-03
6.445452416666665532e-03,6.618976000000001240e-03
6.478785750000000399e-03,2.482116000000000357e-03
6.512119083333333530e-03,2.482116000000000357e-03
6.545452416666666662e-03,4.136860000000000775e-04
6.578785749999999793e-03,2.482116000000000357e-03
6.612119083333332925e-03,4.550545999999999931e-03
6.645452416666666924e-03,4.550545999999999931e-03
6.678785750000000056e-03,4.136860000000000775e-04
6.712119083333333187e-03,4.550545999999999931e-03
6.745452416666666319e-03,4.136860000000000775e-04
6.778785749999999451e-03,4.136860000000000775e-04
6.812119083333332582e-03,2.482116000000000357e-03
6.845452416666666581e-03,6.618976000000001240e-03
6.878785749999999713e-03,2.482116000000000357e-03
6.912119083333332845e-03,4.550545999999999931e-03
6.945452416666665976e-03,2.482116000000000357e-03
6.978785749999999108e-03,2.482116000000000357e-03
7.012119083333332240e-03,4.550545999999999931e-03
7.045452416666667106e-03,4.136860000000000775e-04
7.078785750000000238e-03,4.550545999999999931e-03
7.112119083333333369e-03,4.550545999999999931e-03
7.145452416666666501e-03,2.482116000000000357e-03
7.178785749999999632e-03,2.482116000000000357e-03
7.212119083333332764e-03,-1.654744000000000310e-03
7.245452416666666763e-03,2.482116000000000357e-03
7.278785749999999895e-03,6.618976000000001240e-03
7.312119083333333026e-03,6.618976000000001240e-03
7.345452416666666158e-03,4.136860000000000775e-04
7.378785749999999290e-03,2.482116000000000357e-03
7.412119083333333289e-03,4.550545999999999931e-03
7.445452416666666420e-03,2.482116000000000357e-03
7.478785749999999552e-03,4.550545999999999931e-03
7.512119083333332684e-03,4.136860000000000775e-04
7.545452416666665815e-03,2.482116000000000357e-03
7.578785749999998947e-03,2.482116000000000357e-03
7.612119083333333813e-03,4.136860000000000775e-04
7.645452416666666945e-03,4.550545999999999931e-03
7.678785750000000077e-03,2.482116000000000357e-03
7.712119083333333208e-03,2.482116000000000357e-03
7.745452416666666340e-03,4.136860000000000775e-04
7.778785749999999471e-03,2.482116000000000357e-03
7.812119083333333470e-03,4.136860000000000775e-04
7.845452416666665735e-03,4.550545999999999931e-03
7.878785749999998866e-03,4.136860000000000775e-04
7.912119083333331998e-03,4.550545999999999931e-03
7.945452416666665130e-03,2.482116000000000357e-03
7.978785749999999996e-03,4.550545999999999931e-03
8.012119083333333128e-03,2.482116000000000357e-03
8.045452416666666259e-03,-1.654744000000000310e-03
8.078785749999999391e-03,2.482116000000000357e-03
8.112119083333332523e-03,-1.654744000000000310e-03
8.145452416666665654e-03,2.482116000000000357e-03
8.178785750000000521e-03,-1.654744000000000310e-03
8.212119083333333652e-03,2.482116000000000357e-03
8.245452416666666784e-03,2.482116000000000357e-03
8.278785749999999916e-03,4.550545999999999931e-03
8.312119083333333047e-03,4.550545999999999931e-03
8.345452416666666179e-03,4.550545999999999931e-03
8.378785749999999310e-03,4.136860000000000775e-04
8.412119083333332442e-03,2.482116000000000357e-03
8.445452416666665574e-03,4.550545999999999931e-03
8.478785749999998705e-03,2.482116000000000357e-03
8.512119083333331837e-03,2.482116000000000357e-03
8.545452416666664969e-03,4.136860000000000775e-04
8.578785749999999835e-03,2.482116000000000357e-03
8.612119083333332967e-03,2.482116000000000357e-03
8.645452416666666098e-03,2.482116000000000357e-03
8.678785749999999230e-03,4.550545999999999931e-03
8.712119083333332362e-03,6.618976000000001240e-03
8.745452416666667228e-03,4.550545999999999931e-03
8.778785750000000360e-03,2.482116000000000357e-03
8.812119083333333491e-03,2.482116000000000357e-03
8.845452416666666623e-03,4.550545999999999931e-03
8.878785749999999755e-03,-1.654744000000000310e-03
8.912119083333332886e-03,4.550545999999999931e-03
8.945452416666666018e-03,2.482116000000000357e-03
8.978785749999999150e-03,2.482116000000000357e-03
9.012119083333332281e-03,2.482116000000000357e-03
9.045452416666665413e-03,6.618976000000001240e-03
9.078785749999998544e-03,4.136860000000000775e-04
9.112119083333331676e-03,2.482116000000000357e-03
9.145452416666666542e-03,4.136860000000000775e-04
9.178785749999999674e-03,2.482116000000000357e-03
9.212119083333332806e-03,2.482116000000000357e-03
9.245452416666665937e-03,4.550545999999999931e-03
9.278785749999999069e-03,2.482116000000000357e-03
9.312119083333332201e-03,2.482116000000000357e-03
9.345452416666667067e-03,2.482116000000000357e-03
9.378785750000000199e-03,4.136860000000000775e-04
9.412119083333333330e-03,6.618976000000001240e-03
9.445452416666666462e-03,4.136860000000000775e-04
9.478785749999999594e-03,4.136860000000000775e-04
9.512119083333332725e-03,4.550545999999999931e-03
9.545452416666665857e-03,2.482116000000000357e-03
9.578785749999998989e-03,-1.654744000000000310e-03
9.612119083333332120e-03,4.550545999999999931e-03
9.645452416666665252e-03,2.482116000000000357e-03
9.678785749999998383e-03,2.482116000000000357e-03
9.712119083333333250e-03,2.482116000000000357e-03
9.745452416666666381e-03,9.101091999999999863e-03
9.778785749999999513e-03,2.482116000000000357e-03
9.812119083333332645e-03,4.136860000000000775e-04
