# Volume [mL],Pressure [Bar]
1.718291666666666443e-05,2.482116000000000357e-03
5.051624999999999936e-05,4.550545999999999931e-03
8.384958333333334107e-05,4.550545999999999931e-03
1.171829166666666624e-04,2.482116000000000357e-03
1.505162499999999838e-04,4.550545999999999931e-03
1.838495833333333323e-04,4.550545999999999931e-03
2.171829166666666537e-04,4.136860000000000775e-04
2.505162499999999751e-04,2.482116000000000357e-03
2.838495833333333235e-04,2.482116000000000357e-03
3.171829166666666720e-04,2.482116000000000357e-03
3.505162500000000205e-04,4.136860000000000775e-04
3.838495833333333690e-04,2.482116000000000357e-03
4.171829166666666091e-04,4.136860000000000775e-04
4.505162499999999575e-04,2.482116000000000357e-03
4.838495833333333060e-04,2.482116000000000357e-03
5.171829166666666545e-04,4.550545999999999931e-03
5.505162499999998946e-04,-1.654744000000000310e-03
5.838495833333332431e-04,6.618976000000001240e-03
6.171829166666665915e-04,4.136860000000000775e-04
6.505162499999999400e-04,2.482116000000000357e-03
6.838495833333332885e-04,4.550545999999999931e-03
7.171829166666666370e-04,4.550545999999999931e-03
7.505162499999999855e-04,4.550545999999999931e-03
7.838495833333332255e-04,4.550545999999999931e-03
8.171829166666666824e-04,4.136860000000000775e-04
8.505162499999999225e-04,4.550545999999999931e-03
8.838495833333333794e-04,4.136860000000000775e-04
9.171829166666666195e-04,4.550545999999999931e-03
9.505162499999998595e-04,4.550545999999999931e-03
9.838495833333332080e-04,4.136860000000000775e-04
1.017182916666666556e-03,2.482116000000000357e-03
1.050516249999999905e-03,9.101091999999999863e-03
1.083849583333333253e-03,4.550545999999999931e-03
1.117182916666666602e-03,6.618976000000001240e-03
1.150516249999999950e-03,4.550545999999999931e-03
1.183849583333333299e-03,4.136860000000000775e-04
1.217182916666666647e-03,2.482116000000000357e-03
1.250516249999999996e-03,4.550545999999999931e-03
1.283849583333333128e-03,4.550545999999999931e-03
1.317182916666666476e-03,2.482116000000000357e-03
1.350516249999999824e-03,4.136860000000000775e-04
1.383849583333333390e-03,-1.654744000000000310e-03
1.417182916666666738e-03,4.550545999999999931e-03
1.450516249999999870e-03,4.550545999999999931e-03
1.483849583333333218e-03,4.136860000000000775e-04
1.517182916666666784e-03,4.550545999999999931e-03
1.550516249999999915e-03,6.618976000000001240e-03
1.583849583333333264e-03,4.550545999999999931e-03
1.617182916666666612e-03,6.618976000000001240e-03
1.650516249999999744e-03,4.136860000000000775e-04
1.683849583333333309e-03,2.482116000000000357e-03
1.717182916666666658e-03,4.550545999999999931e-03
1.750516249999999789e-03,4.550545999999999931e-03
1.783849583333333138e-03,4.136860000000000775e-04
1.817182916666666703e-03,4.550545999999999931e-03
1.850516250000000052e-03,2.482116000000000357e-03
1.883849583333333183e-03,4.136860000000000775e-04
1.917182916666666532e-03,4.550545999999999931e-03
1.950516250000000097e-03,4.550545999999999931e-03
1.983849583333333229e-03,2.482116000000000357e-03
2.017182916666666360e-03,4.550545999999999931e-03
2.050516249999999926e-03,4.136860000000000775e-04
2.083849583333333057e-03,6.618976000000001240e-03
2.117182916666666623e-03,2.482116000000000357e-03
2.150516249999999754e-03,4.136860000000000775e-04
2.183849583333333320e-03,1.116952200000000117e-02
2.217182916666666451e-03,2.482116000000000357e-03
2.250516250000000017e-03,2.482116000000000357e-03
2.283849583333333148e-03,2.482116000000000357e-03
2.317182916666666280e-03,-1.654744000000000310e-03
2.350516249999999845e-03,-1.654744000000000310e-03
2.383849583333333411e-03,4.136860000000000775e-04
2.417182916666666542e-03,2.482116000000000357e-03
2.450516249999999674e-03,2.482116000000000357e-03
2.483849583333333239e-03,-1.654744000000000310e-03
2.517182916666666805e-03,4.136860000000000775e-04
2.550516249999999936e-03,2.482116000000000357e-03
2.583849583333333068e-03,2.482116000000000357e-03
2.617182916666666199e-03,2.482116000000000357e-03
2.650516250000000198e-03,4.550545999999999931e-03
2.683849583333333330e-03,4.136860000000000775e-04
2.717182916666666462e-03,4.550545999999999931e-03
2.750516250000000027e-03,4.136860000000000775e-04
2.783849583333333159e-03,2.482116000000000357e-03
2.817182916666666290e-03,2.482116000000000357e-03
2.850516249999999856e-03,-1.654744000000000310e-03
2.883849583333332987e-03,4.136860000000000775e-04
2.917182916666666119e-03,2.482116000000000357e-03
2.950516250000000118e-03,4.136860000000000775e-04
2.983849583333333250e-03,4.550545999999999931e-03
3.017182916666666381e-03,4.550545999999999931e-03
3.050516249999999947e-03,2.482116000000000357e-03
3.083849583333333078e-03,-1.654744000000000310e-03
3.117182916666666644e-03,2.482116000000000357e-03
3.150516249999999775e-03,4.136860000000000775e-04
3.183849583333332907e-03,2.482116000000000357e-03
3.217182916666666906e-03,4.136860000000000775e-04
3.250516250000000038e-03,2.482116000000000357e-03
3.283849583333333169e-03,2.482116000000000357e-03
3.317182916666666734e-03,2.482116000000000357e-03
3.350516249999999866e-03,4.550545999999999931e-03
3.383849583333332998e-03,4.550545999999999931e-03
3.417182916666666563e-03,4.136860000000000775e-04
3.450516249999999695e-03,2.482116000000000357e-03
3.483849583333332826e-03,4.550545999999999931e-03
3.517182916666666825e-03,4.550545999999999931e-03
3.550516249999999957e-03,6.618976000000001240e-03
3.583849583333333089e-03,6.618976000000001240e-03
3.617182916666666654e-03,4.136860000000000775e-04
3.650516249999999786e-03,2.482116000000000357e-03
3.683849583333332917e-03,2.482116000000000357e-03
3.717182916666666483e-03,4.550545999999999931e-03
3.750516249999999614e-03,4.136860000000000775e-04
3.783849583333333613e-03,2.482116000000000357e-03
3.817182916666666745e-03,4.550545999999999931e-03
3.850516249999999877e-03,4.136860000000000775e-04
3.883849583333333442e-03,2.482116000000000357e-03
3.917182916666666140e-03,4.136860000000000775e-04
3.950516249999999271e-03,4.550545999999999931e-03
3.983849583333333270e-03,4.136860000000000775e-04
4.017182916666666402e-03,4.550545999999999931e-03
4.050516249999999534e-03,2.482116000000000357e-03
4.083849583333333533e-03,4.550545999999999931e-03
4.117182916666666664e-03,4.550545999999999931e-03
4.150516249999999796e-03,4.550545999999999931e-03
4.183849583333332928e-03,4.136860000000000775e-04
4.217182916666666059e-03,4.550545999999999931e-03
4.250516249999999191e-03,4.550545999999999931e-03
4.283849583333333190e-03,2.482116000000000357e-03
4.317182916666666322e-03,2.482116000000000357e-03
4.350516249999999453e-03,2.482116000000000357e-03
4.383849583333333452e-03,4.136860000000000775e-04
4.417182916666666584e-03,-1.654744000000000310e-03
4.450516249999999716e-03,4.550545999999999931e-03
4.483849583333332847e-03,4.550545999999999931e-03
4.517182916666665979e-03,-1.654744000000000310e-03
4.550516249999999978e-03,2.482116000000000357e-03
4.583849583333333109e-03,2.482116000000000357e-03
4.617182916666666241e-03,2.482116000000000357e-03
4.650516250000000240e-03,2.482116000000000357e-03
4.683849583333333372e-03,2.482116000000000357e-03
4.717182916666666503e-03,4.550545999999999931e-03
4.750516249999999635e-03,4.136860000000000775e-04
4.783849583333332767e-03,2.482116000000000357e-03
4.817182916666665898e-03,2.482116000000000357e-03
4.850516249999999897e-03,4.136860000000000775e-04
4.883849583333333029e-03,6.618976000000001240e-03
4.917182916666666161e-03,4.550545999999999931e-03
4.950516250000000160e-03,4.550545999999999931e-03
4.983849583333333291e-03,4.550545999999999931e-03
5.017182916666666423e-03,6.618976000000001240e-03
5.050516249999999555e-03,2.482116000000000357e-03
5.083849583333332686e-03,6.618976000000001240e-03
5.117182916666665818e-03,4.550545999999999931e-03
5.150516249999999817e-03,4.550545999999999931e-03
5.183849583333332948e-03,4.136860000000000775e-04
5.217182916666666948e-03,4.550545999999999931e-03
5.250516250000000079e-03,2.482116000000000357e-03
5.283849583333333211e-03,2.482116000000000357e-03
5.317182916666666342e-03,2.482116000000000357e-03
5.350516249999999474e-03,-1.654744000000000310e-03
5.383849583333333473e-03,6.618976000000001240e-03
5.417182916666666605e-03,2.482116000000000357e-03
5.450516249999999736e-03,4.136860000000000775e-04
5.483849583333332868e-03,4.550545999999999931e-03
5.517182916666666000e-03,2.482116000000000357e-03
5.550516249999999999e-03,2.482116000000000357e-03
5.583849583333333130e-03,2.482116000000000357e-03
5.617182916666666262e-03,6.618976000000001240e-03
5.650516249999999394e-03,2.482116000000000357e-03
5.683849583333332525e-03,4.550545999999999931e-03
5.717182916666665657e-03,4.550545999999999931e-03
5.750516250000000523e-03,4.550545999999999931e-03
5.783849583333333655e-03,4.550545999999999931e-03
5.817182916666666787e-03,2.482116000000000357e-03
5.850516249999999918e-03,2.482116000000000357e-03
5.883849583333333050e-03,4.550545999999999931e-03
5.917182916666666181e-03,2.482116000000000357e-03
5.950516250000000180e-03,2.482116000000000357e-03
5.983849583333333312e-03,-1.654744000000000310e-03
6.017182916666666444e-03,4.550545999999999931e-03
6.050516249999999575e-03,4.550545999999999931e-03
6.083849583333332707e-03,2.482116000000000357e-03
6.117182916666665839e-03,6.618976000000001240e-03
6.150516249999999838e-03,4.550545999999999931e-03
6.183849583333332969e-03,4.550545999999999931e-03
6.217182916666666101e-03,4.550545999999999931e-03
6.250516249999999233e-03,4.550545999999999931e-03
6.283849583333332364e-03,4.136860000000000775e-04
6.317182916666667231e-03,2.482116000000000357e-03
6.350516250000000362e-03,6.618976000000001240e-03
6.383849583333333494e-03,2.482116000000000357e-03
6.417182916666666626e-03,4.550545999999999931e-03
6.450516249999999757e-03,-1.654744000000000310e-03
6.483849583333332889e-03,4.550545999999999931e-03
6.517182916666666888e-03,2.482116000000000357e-03
6.550516250000000019e-03,4.136860000000000775e-04
6.583849583333333151e-03,4.550545999999999931e-03
6.617182916666666283e-03,4.136860000000000775e-04
6.650516249999999414e-03,-1.654744000000000310e-03
6.683849583333332546e-03,-1.654744000000000310e-03
6.717182916666666545e-03,4.136860000000000775e-04
6.750516249999999677e-03,4.550545999999999931e-03
6.783849583333332808e-03,4.550545999999999931e-03
6.817182916666665940e-03,4.136860000000000775e-04
