# Volume [mL],Pressure [Bar]
2.393352269083333539e+00,1.163282220000000144e+01
2.393318935749999987e+00,1.160524320000000209e+01
2.393285602416666435e+00,1.162592745000000072e+01
2.393252269083332884e+00,1.159007474999999943e+01
2.393218935749999776e+00,1.156939050000000258e+01
2.393185602416666669e+00,1.167556965000000169e+01
2.393152269083333117e+00,1.161903270000000177e+01
2.393118935750000009e+00,1.157628524999999975e+01
2.393085602416666902e+00,1.164661170000000112e+01
2.393052269083332906e+00,1.163282220000000144e+01
2.393018935749999798e+00,1.160524320000000209e+01
2.392985602416666246e+00,1.168246440000000064e+01
2.392952269083333139e+00,1.160524320000000209e+01
2.392918935750000031e+00,1.166178015000000201e+01
2.392885602416666480e+00,1.156249575000000007e+01
2.392852269083333372e+00,1.156939050000000258e+01
2.392818935750000264e+00,1.167556965000000169e+01
2.392785602416666269e+00,1.167556965000000169e+01
2.392752269083333161e+00,1.161213794999999926e+01
2.392718935749999609e+00,1.155560100000000290e+01
2.392685602416666502e+00,1.150595880000000015e+01
2.392652269083333394e+00,1.161903270000000177e+01
2.392618935749999842e+00,1.161213794999999926e+01
2.392585602416666735e+00,1.160524320000000209e+01
2.392552269083333627e+00,1.163282220000000144e+01
2.392518935749999631e+00,1.159696950000000193e+01
2.392485602416666524e+00,1.159696950000000193e+01
2.392452269083332972e+00,1.166867490000000096e+01
2.392418935749999864e+00,1.167556965000000169e+01
2.392385602416666757e+00,1.154043255000000023e+01
2.392352269083333205e+00,1.162592745000000072e+01
2.392318935750000097e+00,1.160524320000000209e+01
2.392285602416666102e+00,1.159696950000000193e+01
2.392252269083332994e+00,1.165350645000000185e+01
2.392218935749999886e+00,1.154732730000000096e+01
2.392185602416666335e+00,1.160524320000000209e+01
2.392152269083333227e+00,1.151974829999999983e+01
2.392118935750000119e+00,1.156249575000000007e+01
2.392085602416666568e+00,1.161213794999999926e+01
2.392052269083333460e+00,1.153353780000000128e+01
2.392018935749999464e+00,1.154732730000000096e+01
2.391985602416666357e+00,1.151974829999999983e+01
2.391952269083333249e+00,1.155560100000000290e+01
2.391918935749999697e+00,1.156939050000000258e+01
2.391885602416666590e+00,1.156249575000000007e+01
2.391852269083333482e+00,1.161213794999999926e+01
2.391818935749999930e+00,1.160524320000000209e+01
2.391785602416666379e+00,1.159696950000000193e+01
2.391752269083332827e+00,1.161903270000000177e+01
2.391718935749999719e+00,1.154043255000000023e+01
2.391685602416666612e+00,1.162592745000000072e+01
2.391652269083333060e+00,1.161903270000000177e+01
2.391618935749999952e+00,1.159007474999999943e+01
2.391585602416666845e+00,1.159007474999999943e+01
2.391552269083333293e+00,1.157628524999999975e+01
2.391518935749999741e+00,1.153353780000000128e+01
2.391485602416666190e+00,1.154043255000000023e+01
