# Volume [mL],Pressure [Bar]
2.135300000000000037e-05,-5.639905499999999794e-01
5.468633333333333191e-05,-5.777800499999999895e-01
8.801966666666665329e-05,-6.494854500000000197e-01
1.213530000000000018e-04,-6.343170000000001307e-01
1.546863333333333367e-04,-7.060224000000000499e-01
1.880196666666666581e-04,-7.129171500000001105e-01
2.213530000000000066e-04,-6.770644500000000399e-01
2.546863333333333279e-04,-6.908539500000000499e-01
2.880196666666666764e-04,-6.632749500000000298e-01
3.213529999999999707e-04,-6.494854500000000197e-01
3.546863333333333192e-04,-6.494854500000000197e-01
3.880196666666666677e-04,-5.433063000000000198e-01
4.213530000000000162e-04,-4.647061500000000955e-01
4.546863333333333104e-04,-4.371271500000000199e-01
4.880196666666666589e-04,-3.171585000000000654e-01
5.213530000000000074e-04,-3.447375000000000300e-01
5.546863333333333559e-04,-3.102637500000000603e-01
5.880196666666665959e-04,-3.736954500000000401e-01
6.213529999999999444e-04,-3.736954500000000401e-01
6.546863333333334013e-04,-4.081692000000000098e-01
6.880196666666666414e-04,-3.943796999999999997e-01
7.213529999999998815e-04,-4.647061500000000955e-01
7.546863333333333384e-04,-4.867693499999999895e-01
7.880196666666665784e-04,-5.433063000000000198e-01
8.213530000000000353e-04,-5.846748000000000500e-01
8.546863333333332754e-04,-6.205275000000001207e-01
8.880196666666666239e-04,-5.846748000000000500e-01
9.213529999999999723e-04,-5.433063000000000198e-01
9.546863333333333208e-04,-5.570958000000000299e-01
9.880196666666664525e-04,-5.433063000000000198e-01
1.021353000000000018e-03,-5.708853000000000399e-01
1.054686333333333149e-03,-5.364115500000000702e-01
1.088019666666666715e-03,-4.440219000000000249e-01
1.121352999999999846e-03,-3.309480000000000199e-01
1.154686333333333195e-03,-2.882005499999999998e-01
1.188019666666666543e-03,-2.454531000000000074e-01
1.221352999999999892e-03,-2.247688500000000200e-01
1.254686333333333240e-03,-2.454531000000000074e-01
1.288019666666666589e-03,-2.454531000000000074e-01
1.321352999999999937e-03,-2.454531000000000074e-01
1.354686333333333286e-03,-2.950953000000000048e-01
1.388019666666666634e-03,-3.171585000000000654e-01
1.421352999999999766e-03,-3.309480000000000199e-01
1.454686333333333331e-03,-3.874849500000000502e-01
1.488019666666666680e-03,-4.012744500000000047e-01
1.521352999999999811e-03,-5.005588499999999996e-01
1.554686333333333160e-03,-4.936640999999999946e-01
1.588019666666666725e-03,-5.433063000000000198e-01
1.621352999999999857e-03,-4.867693499999999895e-01
1.654686333333333205e-03,-4.716009000000001006e-01
1.688019666666666554e-03,-4.371271500000000199e-01
1.721353000000000119e-03,-4.578114000000000905e-01
1.754686333333333251e-03,-4.440219000000000249e-01
1.788019666666666599e-03,-3.171585000000000654e-01
1.821352999999999948e-03,-2.454531000000000074e-01
1.854686333333333079e-03,-1.820214000000000276e-01
1.888019666666666645e-03,-1.323792000000000024e-01
1.921352999999999993e-03,-1.392739500000000075e-01
1.954686333333332908e-03,-1.613371500000000125e-01
1.988019666666666473e-03,-1.254844499999999974e-01
2.021353000000000039e-03,-2.109793500000000099e-01
2.054686333333333170e-03,-2.606215500000000351e-01
2.088019666666666302e-03,-2.675163000000000402e-01
2.121352999999999867e-03,-2.744110500000000452e-01
2.154686333333333433e-03,-3.019900500000000099e-01
2.188019666666666564e-03,-3.309480000000000199e-01
2.221352999999999696e-03,-4.012744500000000047e-01
2.254686333333333261e-03,-3.516322500000000351e-01
2.288019666666666393e-03,-3.874849500000000502e-01
2.321352999999999958e-03,-3.805902000000000451e-01
2.354686333333333090e-03,-3.736954500000000401e-01
2.388019666666666655e-03,-3.736954500000000401e-01
2.421352999999999787e-03,-3.668007000000000351e-01
2.454686333333333352e-03,-3.736954500000000401e-01
2.488019666666666484e-03,-2.109793500000000099e-01
2.521352999999999615e-03,-2.040846000000000049e-01
2.554686333333333181e-03,-6.205275000000000374e-02
2.588019666666666746e-03,-7.584225000000001382e-02
2.621352999999999878e-03,-6.894750000000000878e-02
2.654686333333333443e-03,-8.273700000000000498e-02
2.688019666666666575e-03,-1.185897000000000062e-01
2.721352999999999706e-03,-1.048002000000000100e-01
2.754686333333333272e-03,-1.475476500000000024e-01
2.788019666666666403e-03,-1.958109000000000099e-01
2.821352999999999535e-03,-2.385583500000000023e-01
2.854686333333333534e-03,-2.606215500000000351e-01
2.888019666666666665e-03,-3.019900500000000099e-01
2.921352999999999797e-03,-3.240532500000000149e-01
2.954686333333333362e-03,-3.378427500000000250e-01
2.988019666666666494e-03,-3.309480000000000199e-01
3.021352999999999626e-03,-3.378427500000000250e-01
3.054686333333333191e-03,-3.171585000000000654e-01
3.088019666666666323e-03,-3.378427500000000250e-01
3.121352999999999454e-03,-3.171585000000000654e-01
3.154686333333333453e-03,-3.102637500000000603e-01
3.188019666666666585e-03,-1.820214000000000276e-01
3.221352999999999717e-03,-1.544424000000000075e-01
3.254686333333333282e-03,-8.273700000000000498e-02
3.288019666666666414e-03,-6.205275000000000374e-02
3.321352999999999979e-03,-4.136850000000000249e-02
3.354686333333333111e-03,-1.930530000000000093e-02
3.388019666666666242e-03,-5.515800000000000564e-02
3.421353000000000241e-03,-9.790545000000000497e-02
3.454686333333333373e-03,-1.254844499999999974e-01
3.488019666666666505e-03,-1.475476500000000024e-01
3.521353000000000070e-03,-1.682319000000000175e-01
3.554686333333333201e-03,-2.040846000000000049e-01
3.588019666666666333e-03,-2.454531000000000074e-01
3.621352999999999898e-03,-3.102637500000000603e-01
3.654686333333333030e-03,-2.523478500000000402e-01
3.688019666666666162e-03,-3.378427500000000250e-01
3.721353000000000161e-03,-3.019900500000000099e-01
3.754686333333333292e-03,-2.950953000000000048e-01
3.788019666666666424e-03,-2.950953000000000048e-01
3.821352999999999989e-03,-2.744110500000000452e-01
3.854686333333333121e-03,-2.040846000000000049e-01
3.888019666666666253e-03,-1.682319000000000175e-01
3.921352999999999818e-03,-9.790545000000000497e-02
3.954686333333332950e-03,-1.930530000000000093e-02
3.988019666666666949e-03,1.378950000000000098e-03
4.021353000000000080e-03,2.206320000000000156e-02
4.054686333333333212e-03,-2.620005000000000250e-02
4.088019666666666344e-03,-4.826325000000000753e-02
4.121352999999999475e-03,-1.323792000000000024e-01
