# Volume [mL],Pressure [Bar]
1.280091666666666640e-05,-6.563802000000000803e-01
4.613424999999999286e-05,-6.136327500000000601e-01
7.946758333333332779e-05,-5.846748000000000500e-01
1.128009166666666627e-04,-5.639905499999999794e-01
1.461342499999999977e-04,-5.502010500000000803e-01
1.794675833333333461e-04,-5.212431000000000703e-01
2.128009166666666404e-04,-4.233376500000000098e-01
2.461342499999999889e-04,-3.378427500000000250e-01
2.794675833333332832e-04,-3.019900500000000099e-01
3.128009166666666317e-04,-2.675163000000000402e-01
3.461342499999999801e-04,-2.744110500000000452e-01
3.794675833333333286e-04,-2.675163000000000402e-01
4.128009166666666771e-04,-2.882005499999999998e-01
4.461342500000000256e-04,-3.171585000000000654e-01
4.794675833333332656e-04,-3.309480000000000199e-01
5.128009166666666141e-04,-3.668007000000000351e-01
5.461342499999999626e-04,-3.585270000000000401e-01
5.794675833333333111e-04,-4.233376500000000098e-01
6.128009166666666596e-04,-4.302324000000000148e-01
6.461342499999998996e-04,-5.005588499999999996e-01
6.794675833333332481e-04,-5.639905499999999794e-01
7.128009166666665966e-04,-5.708853000000000399e-01
7.461342499999999451e-04,-5.143483500000000097e-01
7.794675833333332936e-04,-5.212431000000000703e-01
8.128009166666666421e-04,-5.143483500000000097e-01
8.461342499999999905e-04,-4.798745999999999845e-01
8.794675833333332306e-04,-4.509166500000000299e-01
9.128009166666666875e-04,-3.240532500000000149e-01
9.461342499999999276e-04,-3.019900500000000099e-01
9.794675833333333845e-04,-2.385583500000000023e-01
1.012800916666666516e-03,-2.178741000000000150e-01
1.046134249999999865e-03,-1.820214000000000276e-01
1.079467583333333213e-03,-1.820214000000000276e-01
1.112800916666666562e-03,-2.316636000000000251e-01
1.146134249999999910e-03,-2.454531000000000074e-01
1.179467583333333259e-03,-2.523478500000000402e-01
1.212800916666666607e-03,-2.813057999999999947e-01
1.246134249999999956e-03,-3.309480000000000199e-01
1.279467583333333304e-03,-3.378427500000000250e-01
1.312800916666666652e-03,-3.943796999999999997e-01
1.346134249999999784e-03,-5.005588499999999996e-01
1.379467583333333133e-03,-4.798745999999999845e-01
1.412800916666666698e-03,-4.647061500000000955e-01
1.446134250000000046e-03,-4.509166500000000299e-01
1.479467583333333178e-03,-4.509166500000000299e-01
1.512800916666666527e-03,-4.371271500000000199e-01
1.546134250000000092e-03,-4.150639500000000148e-01
1.579467583333333223e-03,-3.874849500000000502e-01
1.612800916666666572e-03,-2.950953000000000048e-01
1.646134249999999920e-03,-2.385583500000000023e-01
1.679467583333333052e-03,-1.613371500000000125e-01
1.712800916666666617e-03,-1.475476500000000024e-01
1.746134249999999966e-03,-1.254844499999999974e-01
1.779467583333333314e-03,-1.392739500000000075e-01
1.812800916666666446e-03,-1.475476500000000024e-01
1.846134250000000011e-03,-1.820214000000000276e-01
1.879467583333333360e-03,-1.958109000000000099e-01
1.912800916666666491e-03,-2.385583500000000023e-01
1.946134249999999840e-03,-2.744110500000000452e-01
1.979467583333333405e-03,-3.171585000000000654e-01
2.012800916666666537e-03,-3.240532500000000149e-01
2.046134249999999669e-03,-4.302324000000000148e-01
2.079467583333333234e-03,-4.371271500000000199e-01
2.112800916666666799e-03,-4.233376500000000098e-01
