d/R,Iteration,Critical pressure
0.10526315789473684,1.0,0.15306382000000002
0.10526315789473684,1.0,0.16381965600000004
0.10526315789473684,2.0,0.14892696000000002
0.10526315789473684,2.0,0.16381965600000004
0.2222222222222222,1.0,0.5857793760000001
0.2222222222222222,1.0,0.5857793760000001
0.2222222222222222,2.0,0.56054453
0.2222222222222222,2.0,0.57088668
0.2598870056497175,1.0,0.7702833320000001
0.2598870056497175,1.0,0.778970738
0.2598870056497175,1.0,0.7810391680000001
0.2598870056497175,1.0,0.7872444580000001
0.2598870056497175,2.0,0.7429800560000002
0.2598870056497175,2.0,0.7620096120000002
0.2598870056497175,2.0,0.7578727520000001
0.2598870056497175,2.0,0.7727654480000001
0.2857142857142857,1.0,0.827785686
0.2857142857142857,1.0,0.859639508
0.2857142857142857,1.0,0.8488836720000001
0.2857142857142857,1.0,0.8658447980000001
0.2857142857142857,2.0,0.7851760280000001
0.2857142857142857,2.0,0.8108245600000001
0.2857142857142857,2.0,0.8257172560000001
0.2857142857142857,2.0,0.829854116
0.35294117647058826,1.0,1.4809958800000003
0.35294117647058826,1.0,1.5215371080000002
0.35294117647058826,1.0,1.5236055380000002
0.35294117647058826,1.0,1.5190549920000003
0.35294117647058826,2.0,1.4706537300000002
0.35294117647058826,2.0,1.5045759820000002
0.35294117647058826,2.0,1.5128497020000002
0.35294117647058826,2.0,1.5087128420000002
0.5,1.0,3.6211227000000004
0.5,1.0,3.5645857500000004
0.5,1.0,3.0350689500000003
0.5,2.0,3.4018696500000005
0.5,2.0,3.4666803
0.5,2.0,3.5011540500000007
0.5806451612903226,1.0,4.731177450000001
0.5806451612903226,1.0,4.91595675
0.5806451612903226,2.0,4.96559895
0.5806451612903226,2.0,4.314734550000001
0.6666666666666666,1.0,6.125295900000001
0.6666666666666666,1.0,6.605170500000001
0.6666666666666666,2.0,6.08254845
0.6666666666666666,2.0,6.47141235
