# Volume [mL],Pressure [Bar]
1.893574999999999908e-05,-4.012744500000000047e-01
5.226908333333332723e-05,-4.150639500000000148e-01
8.560241666666666216e-05,-4.233376500000000098e-01
1.189357499999999835e-04,-4.578114000000000905e-01
1.522690833333333320e-04,-4.867693499999999895e-01
1.856024166666666534e-04,-5.364115500000000702e-01
2.189357500000000019e-04,-5.570958000000000299e-01
2.522690833333333504e-04,-4.936640999999999946e-01
2.856024166666666446e-04,-5.143483500000000097e-01
3.189357499999999931e-04,-5.212431000000000703e-01
3.522690833333332874e-04,-5.005588499999999996e-01
3.856024166666666359e-04,-4.798745999999999845e-01
4.189357499999999844e-04,-4.302324000000000148e-01
4.522690833333333328e-04,-3.378427500000000250e-01
4.856024166666666271e-04,-2.606215500000000351e-01
5.189357499999999214e-04,-2.316636000000000251e-01
5.522690833333332699e-04,-2.385583500000000023e-01
5.856024166666666184e-04,-2.109793500000000099e-01
6.189357499999999668e-04,-2.606215500000000351e-01
6.522690833333333153e-04,-2.454531000000000074e-01
6.856024166666666638e-04,-2.813057999999999947e-01
7.189357500000000123e-04,-2.744110500000000452e-01
7.522690833333332524e-04,-3.171585000000000654e-01
7.856024166666667093e-04,-3.516322500000000351e-01
8.189357499999999493e-04,-3.874849500000000502e-01
8.522690833333331894e-04,-4.509166500000000299e-01
8.856024166666666463e-04,-5.570958000000000299e-01
9.189357499999998864e-04,-5.212431000000000703e-01
9.522690833333333433e-04,-4.647061500000000955e-01
9.856024166666665833e-04,-4.371271500000000199e-01
1.018935749999999932e-03,-4.440219000000000249e-01
1.052269083333333280e-03,-4.509166500000000299e-01
1.085602416666666629e-03,-4.578114000000000905e-01
1.118935749999999977e-03,-4.012744500000000047e-01
1.152269083333333326e-03,-3.171585000000000654e-01
1.185602416666666457e-03,-2.178741000000000150e-01
1.218935750000000023e-03,-1.392739500000000075e-01
1.252269083333333154e-03,-1.613371500000000125e-01
1.285602416666666720e-03,-1.889161500000000327e-01
1.318935750000000068e-03,-1.544424000000000075e-01
1.352269083333333200e-03,-1.958109000000000099e-01
1.385602416666666548e-03,-2.523478500000000402e-01
1.418935750000000114e-03,-2.813057999999999947e-01
1.452269083333333245e-03,-2.744110500000000452e-01
1.485602416666666594e-03,-3.171585000000000654e-01
1.518935749999999942e-03,-3.736954500000000401e-01
1.552269083333333074e-03,-4.302324000000000148e-01
1.585602416666666639e-03,-3.943796999999999997e-01
1.618935749999999988e-03,-3.943796999999999997e-01
1.652269083333333119e-03,-4.150639500000000148e-01
1.685602416666666468e-03,-4.012744500000000047e-01
1.718935750000000033e-03,-3.874849500000000502e-01
1.752269083333333382e-03,-3.805902000000000451e-01
1.785602416666666513e-03,-3.736954500000000401e-01
1.818935749999999862e-03,-3.171585000000000654e-01
1.852269083333333427e-03,-1.958109000000000099e-01
1.885602416666666559e-03,-1.544424000000000075e-01
1.918935749999999907e-03,-1.116949500000000151e-01
1.952269083333333256e-03,-1.116949500000000151e-01
1.985602416666666387e-03,-1.254844499999999974e-01
2.018935749999999953e-03,-1.185897000000000062e-01
2.052269083333333084e-03,-1.185897000000000062e-01
2.085602416666666650e-03,-1.613371500000000125e-01
2.118935749999999781e-03,-1.751266500000000226e-01
2.152269083333333347e-03,-2.109793500000000099e-01
2.185602416666666478e-03,-2.178741000000000150e-01
2.218935749999999610e-03,-2.882005499999999998e-01
2.252269083333333175e-03,-3.102637500000000603e-01
2.285602416666666740e-03,-3.585270000000000401e-01
2.318935749999999872e-03,-3.171585000000000654e-01
2.352269083333333004e-03,-3.585270000000000401e-01
2.385602416666666569e-03,-3.309480000000000199e-01
2.418935750000000134e-03,-3.309480000000000199e-01
2.452269083333333266e-03,-3.585270000000000401e-01
2.485602416666666398e-03,-3.102637500000000603e-01
2.518935749999999963e-03,-1.820214000000000276e-01
2.552269083333333095e-03,-1.116949500000000151e-01
2.585602416666666660e-03,-4.136850000000000249e-02
2.618935749999999792e-03,-5.515800000000000564e-02
2.652269083333332923e-03,-5.515800000000000564e-02
2.685602416666666922e-03,-3.447375000000000439e-02
2.718935750000000054e-03,-5.515800000000000564e-02
2.752269083333333186e-03,-9.790545000000000497e-02
2.785602416666666751e-03,-1.185897000000000062e-01
2.818935749999999883e-03,-1.544424000000000075e-01
2.852269083333333014e-03,-1.682319000000000175e-01
2.885602416666666580e-03,-2.109793500000000099e-01
2.918935749999999711e-03,-2.950953000000000048e-01
2.952269083333332843e-03,-2.882005499999999998e-01
2.985602416666666842e-03,-3.378427500000000250e-01
3.018935749999999973e-03,-2.882005499999999998e-01
3.052269083333333105e-03,-2.950953000000000048e-01
3.085602416666666670e-03,-2.813057999999999947e-01
3.118935749999999802e-03,-2.882005499999999998e-01
3.152269083333332934e-03,-2.813057999999999947e-01
3.185602416666666499e-03,-2.454531000000000074e-01
3.218935749999999631e-03,-1.392739500000000075e-01
3.252269083333332762e-03,-8.273700000000000498e-02
3.285602416666666761e-03,-3.447375000000000439e-02
3.318935749999999893e-03,-4.136850000000000249e-02
3.352269083333333458e-03,-5.515800000000000390e-03
3.385602416666666590e-03,-4.826325000000000753e-02
3.418935749999999722e-03,-4.826325000000000753e-02
3.452269083333333287e-03,-9.101070000000001381e-02
3.485602416666666419e-03,-8.273700000000000498e-02
3.518935749999999550e-03,-1.116949500000000151e-01
3.552269083333333549e-03,-9.790545000000000497e-02
3.585602416666666681e-03,-1.475476500000000024e-01
3.618935749999999812e-03,-1.958109000000000099e-01
3.652269083333333378e-03,-2.882005499999999998e-01
3.685602416666666509e-03,-2.523478500000000402e-01
3.718935749999999641e-03,-3.019900500000000099e-01
3.752269083333333206e-03,-2.950953000000000048e-01
3.785602416666666338e-03,-2.882005499999999998e-01
3.818935749999999470e-03,-2.523478500000000402e-01
3.852269083333333469e-03,-2.454531000000000074e-01
3.885602416666666600e-03,-2.247688500000000200e-01
3.918935749999999732e-03,-1.254844499999999974e-01
3.952269083333332864e-03,-1.116949500000000151e-01
3.985602416666665995e-03,-5.515800000000000564e-02
4.018935749999999994e-03,2.206320000000000156e-02
4.052269083333333126e-03,1.378950000000000098e-03
4.085602416666666258e-03,-5.515800000000000390e-03
4.118935750000000257e-03,-2.620005000000000250e-02
4.152269083333333388e-03,-8.273700000000000498e-02
4.185602416666666520e-03,-1.116949500000000151e-01
4.218935749999999651e-03,-1.254844499999999974e-01
4.252269083333332783e-03,-1.323792000000000024e-01
4.285602416666665915e-03,-1.820214000000000276e-01
4.318935749999999914e-03,-2.454531000000000074e-01
4.352269083333333045e-03,-3.019900500000000099e-01
4.385602416666666177e-03,-2.882005499999999998e-01
4.418935750000000176e-03,-3.019900500000000099e-01
4.452269083333333308e-03,-2.675163000000000402e-01
4.485602416666666439e-03,-2.606215500000000351e-01
4.518935749999999571e-03,-2.744110500000000452e-01
4.552269083333332703e-03,-2.523478500000000402e-01
4.585602416666665834e-03,-1.889161500000000327e-01
4.618935749999999833e-03,-1.254844499999999974e-01
4.652269083333332965e-03,-7.584225000000001382e-02
4.685602416666666097e-03,8.273700000000000152e-03
4.718935750000000096e-03,8.273700000000000152e-03
4.752269083333333227e-03,-1.930530000000000093e-02
4.785602416666666359e-03,8.273700000000000152e-03
4.818935749999999490e-03,-4.826325000000000753e-02
4.852269083333332622e-03,-7.584225000000001382e-02
4.885602416666666621e-03,-1.185897000000000062e-01
4.918935749999999753e-03,-1.116949500000000151e-01
4.952269083333332884e-03,-1.682319000000000175e-01
4.985602416666666883e-03,-2.247688500000000200e-01
5.018935750000000015e-03,-2.950953000000000048e-01
5.052269083333333147e-03,-3.378427500000000250e-01
5.085602416666666278e-03,-2.675163000000000402e-01
5.118935749999999410e-03,-2.744110500000000452e-01
5.152269083333332542e-03,-2.247688500000000200e-01
5.185602416666666541e-03,-2.178741000000000150e-01
5.218935750000000540e-03,-2.606215500000000351e-01
5.252269083333333671e-03,-2.813057999999999947e-01
5.285602416666666803e-03,-2.247688500000000200e-01
5.318935749999999935e-03,-1.820214000000000276e-01
5.352269083333333066e-03,-1.475476500000000024e-01
5.385602416666666198e-03,-1.048002000000000100e-01
5.418935750000000197e-03,-1.392739500000000075e-01
5.452269083333333329e-03,-1.682319000000000175e-01
5.485602416666666460e-03,-2.109793500000000099e-01
5.518935749999999592e-03,-2.454531000000000074e-01
5.552269083333332723e-03,-2.606215500000000351e-01
5.585602416666665855e-03,-3.240532500000000149e-01
5.618935749999999854e-03,-3.874849500000000502e-01
5.652269083333332986e-03,-4.302324000000000148e-01
5.685602416666666117e-03,-4.936640999999999946e-01
5.718935749999999249e-03,-5.074536000000000602e-01
5.752269083333332381e-03,-2.620005000000000250e-02
5.785602416666665512e-03,-4.826325000000000753e-02
5.818935750000000379e-03,-1.930530000000000093e-02
5.852269083333333510e-03,-7.584225000000001382e-02
5.885602416666666642e-03,-5.515800000000000564e-02
5.918935749999999774e-03,-1.241054999999999936e-02
5.952269083333332905e-03,-4.826325000000000753e-02
5.985602416666666904e-03,-5.515800000000000390e-03
6.018935750000000036e-03,-2.620005000000000250e-02
6.052269083333333168e-03,8.273700000000000152e-03
6.085602416666666299e-03,-9.101070000000001381e-02
6.118935749999999431e-03,4.412640000000000312e-02
6.152269083333332562e-03,-9.101070000000001381e-02
6.185602416666666561e-03,6.481065000000001131e-02
6.218935749999999693e-03,6.481065000000001131e-02
6.252269083333332825e-03,-5.515800000000000390e-03
6.285602416666665956e-03,-1.241054999999999936e-02
6.318935749999999088e-03,4.412640000000000312e-02
6.352269083333332220e-03,-1.241054999999999936e-02
6.385602416666667086e-03,-9.790545000000000497e-02
6.418935750000000218e-03,-7.584225000000001382e-02
6.452269083333333349e-03,-5.515800000000000390e-03
6.485602416666666481e-03,-8.273700000000000498e-02
6.518935749999999613e-03,2.206320000000000156e-02
6.552269083333333612e-03,-5.515800000000000390e-03
6.585602416666666743e-03,-5.515800000000000390e-03
6.618935749999999875e-03,1.516844999999999999e-02
6.652269083333333007e-03,-5.515800000000000390e-03
6.685602416666666138e-03,-4.826325000000000753e-02
6.718935749999999270e-03,-8.273700000000000498e-02
6.752269083333333269e-03,1.516844999999999999e-02
6.785602416666666400e-03,-4.826325000000000753e-02
6.818935749999999532e-03,-6.205275000000000374e-02
6.852269083333332664e-03,-1.930530000000000093e-02
6.885602416666665795e-03,-8.273700000000000498e-02
6.918935749999998927e-03,1.516844999999999999e-02
6.952269083333333793e-03,-2.620005000000000250e-02
6.985602416666666925e-03,-9.101070000000001381e-02
7.018935750000000057e-03,-4.136850000000000249e-02
7.052269083333333188e-03,-7.584225000000001382e-02
7.085602416666666320e-03,-6.205275000000000374e-02
7.118935749999999452e-03,-9.790545000000000497e-02
7.152269083333333451e-03,5.102115000000000122e-02
7.185602416666666582e-03,-8.273700000000000498e-02
7.218935749999999714e-03,5.791590000000000626e-02
7.252269083333332846e-03,3.033689999999999998e-02
7.285602416666665977e-03,-9.790545000000000497e-02
7.318935749999999976e-03,4.412640000000000312e-02
7.352269083333333108e-03,-2.620005000000000250e-02
7.385602416666666239e-03,8.273700000000000152e-03
7.418935749999999371e-03,-1.048002000000000100e-01
7.452269083333332503e-03,1.378950000000000098e-03
7.485602416666665634e-03,2.206320000000000156e-02
7.518935750000000501e-03,5.791590000000000626e-02
7.552269083333333632e-03,1.516844999999999999e-02
7.585602416666666764e-03,-5.515800000000000390e-03
7.618935749999999896e-03,-1.241054999999999936e-02
7.652269083333333027e-03,1.516844999999999999e-02
7.685602416666666159e-03,-5.515800000000000390e-03
7.718935750000000158e-03,3.723165000000000502e-02
7.752269083333333290e-03,-3.447375000000000439e-02
7.785602416666666421e-03,-1.930530000000000093e-02
7.818935749999998686e-03,1.516844999999999999e-02
7.852269083333331817e-03,1.378950000000000098e-03
7.885602416666664949e-03,-9.101070000000001381e-02
7.918935749999999815e-03,7.170540000000000247e-02
7.952269083333332947e-03,2.206320000000000156e-02
7.985602416666666079e-03,3.033689999999999998e-02
8.018935749999999210e-03,1.516844999999999999e-02
8.052269083333332342e-03,1.378950000000000098e-03
8.085602416666667208e-03,-7.584225000000001382e-02
8.118935750000000340e-03,-6.894750000000000878e-02
8.152269083333333471e-03,-6.205275000000000374e-02
8.185602416666666603e-03,5.102115000000000122e-02
8.218935749999999735e-03,5.102115000000000122e-02
8.252269083333332866e-03,-1.116949500000000151e-01
8.285602416666665998e-03,-1.241054999999999936e-02
8.318935749999999130e-03,2.206320000000000156e-02
8.352269083333332261e-03,-5.515800000000000564e-02
8.385602416666665393e-03,3.723165000000000502e-02
8.418935749999998525e-03,-1.241054999999999936e-02
8.452269083333331656e-03,-5.515800000000000390e-03
8.485602416666666523e-03,-1.930530000000000093e-02
8.518935749999999654e-03,-3.447375000000000439e-02
8.552269083333332786e-03,-1.241054999999999936e-02
8.585602416666665918e-03,-1.241054999999999936e-02
8.618935749999999049e-03,-4.826325000000000753e-02
8.652269083333332181e-03,-5.515800000000000564e-02
8.685602416666667047e-03,-1.241054999999999936e-02
8.718935750000000179e-03,-7.584225000000001382e-02
8.752269083333333310e-03,-5.515800000000000564e-02
8.785602416666666442e-03,3.723165000000000502e-02
8.818935749999999574e-03,8.273700000000000152e-03
8.852269083333332705e-03,-4.826325000000000753e-02
8.885602416666665837e-03,1.516844999999999999e-02
8.918935749999998969e-03,-9.101070000000001381e-02
8.952269083333332100e-03,-6.894750000000000878e-02
8.985602416666665232e-03,-2.620005000000000250e-02
9.018935749999998364e-03,-1.241054999999999936e-02
9.052269083333333230e-03,-5.515800000000000564e-02
9.085602416666666362e-03,3.033689999999999998e-02
9.118935749999999493e-03,5.102115000000000122e-02
9.152269083333332625e-03,-5.515800000000000390e-03
9.185602416666665757e-03,-5.515800000000000564e-02
9.218935749999998888e-03,-8.273700000000000498e-02
9.252269083333333755e-03,-6.894750000000000878e-02
9.285602416666666886e-03,3.723165000000000502e-02
9.318935750000000018e-03,-3.447375000000000439e-02
9.352269083333333149e-03,8.273700000000000152e-03
9.385602416666666281e-03,2.206320000000000156e-02
9.418935749999999413e-03,5.791590000000000626e-02
9.452269083333332544e-03,5.791590000000000626e-02
9.485602416666665676e-03,8.273700000000000152e-03
9.518935749999998808e-03,-2.620005000000000250e-02
9.552269083333331939e-03,3.723165000000000502e-02
9.585602416666665071e-03,-8.273700000000000498e-02
9.618935749999999937e-03,-6.205275000000000374e-02
9.652269083333333069e-03,1.378950000000000098e-03
9.685602416666666201e-03,-7.584225000000001382e-02
9.718935749999999332e-03,-6.205275000000000374e-02
9.752269083333332464e-03,-1.930530000000000093e-02
9.785602416666665596e-03,-9.790545000000000497e-02
9.818935750000000462e-03,-1.930530000000000093e-02
9.852269083333333594e-03,1.378950000000000098e-03
9.885602416666666725e-03,-1.241054999999999936e-02
9.918935749999999857e-03,-5.515800000000000564e-02
9.952269083333332989e-03,8.273700000000000152e-03
9.985602416666666120e-03,-5.515800000000000390e-03
1.001893574999999925e-02,1.516844999999999999e-02
1.005226908333333238e-02,4.412640000000000312e-02
1.008560241666666552e-02,-1.930530000000000093e-02
1.011893574999999865e-02,-7.584225000000001382e-02
1.015226908333333178e-02,4.412640000000000312e-02
1.018560241666666664e-02,-1.930530000000000093e-02
1.021893574999999978e-02,-4.136850000000000249e-02
1.025226908333333291e-02,1.378950000000000098e-03
1.028560241666666604e-02,5.102115000000000122e-02
1.031893574999999917e-02,8.273700000000000152e-03
1.035226908333333230e-02,-4.136850000000000249e-02
1.038560241666666717e-02,-1.930530000000000093e-02
1.041893574999999857e-02,-6.205275000000000374e-02
1.045226908333333343e-02,-1.241054999999999936e-02
1.048560241666666656e-02,8.273700000000000152e-03
1.051893574999999970e-02,-5.515800000000000564e-02
1.055226908333333283e-02,2.206320000000000156e-02
1.058560241666666596e-02,8.273700000000000152e-03
1.061893574999999909e-02,-8.273700000000000498e-02
1.065226908333333222e-02,5.791590000000000626e-02
1.068560241666666535e-02,-1.241054999999999936e-02
1.071893575000000022e-02,1.378950000000000098e-03
1.075226908333333162e-02,-2.620005000000000250e-02
1.078560241666666648e-02,-1.048002000000000100e-01
1.081893574999999788e-02,1.516844999999999999e-02
1.085226908333333275e-02,-1.930530000000000093e-02
1.088560241666666761e-02,-5.515800000000000390e-03
1.091893574999999901e-02,-5.515800000000000390e-03
1.095226908333333388e-02,-5.515800000000000564e-02
1.098560241666666527e-02,-5.515800000000000390e-03
1.101893575000000014e-02,-8.273700000000000498e-02
1.105226908333333327e-02,-3.447375000000000439e-02
1.108560241666666640e-02,-6.205275000000000374e-02
1.111893574999999953e-02,7.170540000000000247e-02
1.115226908333333267e-02,-5.515800000000000564e-02
1.118560241666666580e-02,-6.205275000000000374e-02
1.121893574999999893e-02,-5.515800000000000390e-03
1.125226908333333206e-02,-1.241054999999999936e-02
1.128560241666666693e-02,-6.894750000000000878e-02
1.131893574999999832e-02,-3.447375000000000439e-02
1.135226908333333319e-02,-4.136850000000000249e-02
1.138560241666666459e-02,3.033689999999999998e-02
1.141893574999999945e-02,3.033689999999999998e-02
1.145226908333333432e-02,-1.241054999999999936e-02
1.148560241666666572e-02,3.033689999999999998e-02
1.151893575000000058e-02,5.791590000000000626e-02
1.155226908333333198e-02,-1.930530000000000093e-02
1.158560241666666685e-02,3.723165000000000502e-02
1.161893574999999998e-02,1.378950000000000098e-03
1.165226908333333311e-02,-3.447375000000000439e-02
1.168560241666666624e-02,-2.620005000000000250e-02
1.171893574999999937e-02,-5.515800000000000390e-03
1.175226908333333251e-02,5.102115000000000122e-02
1.178560241666666564e-02,-5.515800000000000390e-03
1.181893574999999877e-02,3.033689999999999998e-02
1.185226908333333364e-02,-5.515800000000000390e-03
1.188560241666666503e-02,-6.894750000000000878e-02
1.191893574999999990e-02,-5.515800000000000390e-03
1.195226908333333130e-02,8.273700000000000152e-03
1.198560241666666616e-02,-6.205275000000000374e-02
1.201893575000000103e-02,4.412640000000000312e-02
1.205226908333333243e-02,5.791590000000000626e-02
1.208560241666666729e-02,-3.447375000000000439e-02
1.211893574999999869e-02,-1.241054999999999936e-02
1.215226908333333355e-02,-1.241054999999999936e-02
1.218560241666666495e-02,1.378950000000000098e-03
1.221893574999999982e-02,-4.136850000000000249e-02
1.225226908333333295e-02,8.273700000000000152e-03
1.228560241666666608e-02,-4.136850000000000249e-02
1.231893574999999921e-02,8.273700000000000152e-03
1.235226908333333234e-02,-6.894750000000000878e-02
1.238560241666666548e-02,-5.515800000000000390e-03
1.241893575000000034e-02,1.516844999999999999e-02
1.245226908333333174e-02,1.378950000000000098e-03
1.248560241666666661e-02,-1.241054999999999936e-02
1.251893574999999800e-02,8.273700000000000152e-03
1.255226908333333287e-02,-6.205275000000000374e-02
1.258560241666666774e-02,-1.241054999999999936e-02
