# Volume (mL), Pressure (Bar)
3.984693198066196346e-03,-3.723174000000000101e-03
2.243237371657905328e-03,4.136860000000000775e-04
4.051359864732862609e-03,-3.723174000000000101e-03
1.422877653656692918e-03,2.482116000000000357e-03
2.343237371657905157e-03,4.136860000000000775e-04
1.489544320323359181e-03,2.482116000000000357e-03
4.184693198066196870e-03,-3.723174000000000101e-03
4.218026531399530002e-03,-3.723174000000000101e-03
5.139123037470221152e-03,-5.791604000000000543e-03
3.397175820223266585e-03,-1.654744000000000310e-03
3.430509153556599716e-03,-1.654744000000000310e-03
1.689544320323359706e-03,2.482116000000000357e-03
3.497175820223266847e-03,-1.654744000000000310e-03
3.530509153556599979e-03,-1.654744000000000310e-03
4.451359864732863658e-03,-3.723174000000000101e-03
4.484693198066196790e-03,-3.723174000000000101e-03
3.630509153556600241e-03,-1.654744000000000310e-03
4.551359864732863053e-03,-3.723174000000000101e-03
4.584693198066196185e-03,-3.723174000000000101e-03
1.956210986990026494e-03,2.482116000000000357e-03
4.651359864732863315e-03,-3.723174000000000101e-03
4.684693198066196447e-03,-3.723174000000000101e-03
4.718026531399530446e-03,-3.723174000000000101e-03
4.751359864732863578e-03,-3.723174000000000101e-03
4.784693198066196709e-03,-3.723174000000000101e-03
3.930509153556600160e-03,-1.654744000000000310e-03
2.189544320323359283e-03,2.482116000000000357e-03
4.884693198066196104e-03,-3.723174000000000101e-03
4.918026531399530103e-03,-3.723174000000000101e-03
2.289544320323359545e-03,2.482116000000000357e-03
4.984693198066196367e-03,-3.723174000000000101e-03
5.018026531399530366e-03,-3.723174000000000101e-03
5.051359864732863497e-03,-3.723174000000000101e-03
5.084693198066196629e-03,-3.723174000000000101e-03
6.005789704136887779e-03,-5.791604000000000543e-03
5.151359864732862892e-03,-3.723174000000000101e-03
5.184693198066196024e-03,-3.723174000000000101e-03
5.218026531399530023e-03,-3.723174000000000101e-03
5.251359864732863154e-03,-3.723174000000000101e-03
5.284693198066197153e-03,-3.723174000000000101e-03
5.318026531399530285e-03,-3.723174000000000101e-03
5.351359864732863417e-03,-3.723174000000000101e-03
2.722877653656692858e-03,2.482116000000000357e-03
5.418026531399529680e-03,-3.723174000000000101e-03
4.563842486889933131e-03,-1.654744000000000310e-03
5.484693198066196811e-03,-3.723174000000000101e-03
5.518026531399529942e-03,-3.723174000000000101e-03
5.551359864732863074e-03,-3.723174000000000101e-03
5.584693198066196206e-03,-3.723174000000000101e-03
2.956210986990025647e-03,2.482116000000000357e-03
2.102763134409373069e-03,4.550545999999999931e-03
3.022877653656692778e-03,2.482116000000000357e-03
5.718026531399529599e-03,-3.723174000000000101e-03
5.751359864732862731e-03,-3.723174000000000101e-03
2.236096467742707330e-03,4.550545999999999931e-03
4.043237371657904845e-03,4.136860000000000775e-04
5.851359864732862993e-03,-3.723174000000000101e-03
4.997175820223266444e-03,-1.654744000000000310e-03
