# Volume (mL), Pressure (Bar)
2.492388096750000059e+00,2.355114397999999998e+00
2.492354763416666508e+00,2.353045967999999988e+00
2.492321430083333400e+00,2.355114397999999998e+00
2.492288096750000292e+00,2.357182828000000452e+00
2.492254763416666297e+00,2.353045967999999988e+00
2.492221430083333189e+00,2.359251258000000462e+00
2.492188096749999637e+00,2.355114397999999998e+00
2.492154763416666530e+00,2.355114397999999998e+00
2.492121430083333422e+00,2.355114397999999998e+00
2.492088096749999870e+00,2.355114397999999998e+00
2.492054763416666763e+00,2.361319688000000472e+00
2.492021430083332767e+00,2.355114397999999998e+00
2.491988096749999659e+00,2.355114397999999998e+00
2.491954763416666552e+00,2.361319688000000472e+00
2.491921430083333000e+00,2.355114397999999998e+00
2.491888096749999892e+00,2.355114397999999998e+00
2.491854763416666785e+00,2.361319688000000472e+00
2.491821430083333233e+00,2.357182828000000452e+00
2.491788096750000125e+00,2.355114397999999998e+00
2.491754763416666130e+00,2.357182828000000452e+00
2.491721430083333022e+00,2.353045967999999988e+00
2.491688096749999914e+00,2.359251258000000462e+00
2.491654763416666363e+00,2.355114397999999998e+00
2.491621430083333255e+00,2.361319688000000472e+00
2.491588096750000147e+00,2.353045967999999988e+00
2.491554763416666596e+00,2.353045967999999988e+00
2.491521430083333044e+00,2.357182828000000452e+00
2.491488096749999492e+00,2.361319688000000472e+00
2.491454763416666385e+00,2.355114397999999998e+00
2.491421430083333277e+00,2.355114397999999998e+00
2.491388096749999725e+00,2.359251258000000462e+00
2.491354763416666618e+00,2.361319688000000472e+00
2.491321430083333510e+00,2.359251258000000462e+00
2.491288096749999958e+00,2.361319688000000472e+00
2.491254763416666407e+00,2.361319688000000472e+00
2.491221430083332855e+00,2.363388118000000482e+00
2.491188096749999747e+00,2.357182828000000452e+00
2.491154763416666640e+00,2.359251258000000462e+00
2.491121430083333088e+00,2.357182828000000452e+00
2.491088096749999981e+00,2.355114397999999998e+00
2.491054763416666873e+00,2.355114397999999998e+00
2.491021430083333321e+00,2.355114397999999998e+00
2.490988096749999769e+00,2.355114397999999998e+00
2.490954763416666218e+00,2.353045967999999988e+00
2.490921430083333110e+00,2.355114397999999998e+00
2.490888096750000003e+00,2.357182828000000452e+00
2.490854763416666451e+00,2.357182828000000452e+00
2.490821430083333343e+00,2.361319688000000472e+00
2.490788096750000236e+00,2.357182828000000452e+00
2.490754763416666240e+00,2.361319688000000472e+00
2.490721430083333132e+00,2.357182828000000452e+00
2.490688096749999580e+00,2.357182828000000452e+00
2.490654763416666473e+00,2.355114397999999998e+00
2.490621430083333365e+00,2.355114397999999998e+00
2.490588096749999814e+00,2.361319688000000472e+00
2.490554763416666706e+00,2.357182828000000452e+00
2.490521430083333598e+00,2.355114397999999998e+00
2.490488096749999603e+00,2.361319688000000472e+00
2.490454763416666495e+00,2.363388118000000482e+00
2.490421430083332943e+00,2.353045967999999988e+00
2.490388096749999836e+00,2.355114397999999998e+00
2.490354763416666728e+00,2.355114397999999998e+00
2.490321430083333176e+00,2.359251258000000462e+00
2.490288096750000069e+00,2.355114397999999998e+00
2.490254763416666961e+00,2.361319688000000472e+00
2.490221430083332965e+00,2.353045967999999988e+00
2.490188096749999858e+00,2.363388118000000482e+00
2.490154763416666306e+00,2.361319688000000472e+00
2.490121430083333198e+00,2.355114397999999998e+00
2.490088096750000091e+00,2.357182828000000452e+00
2.490054763416666539e+00,2.355114397999999998e+00
2.490021430083333431e+00,2.361319688000000472e+00
2.489988096749999436e+00,2.355114397999999998e+00
2.489954763416666328e+00,2.363388118000000482e+00
2.489921430083333220e+00,2.363388118000000482e+00
2.489888096749999669e+00,2.355114397999999998e+00
2.489854763416666561e+00,2.355114397999999998e+00
2.489821430083333453e+00,2.359251258000000462e+00
2.489788096749999902e+00,2.355114397999999998e+00
2.489754763416666794e+00,2.355114397999999998e+00
2.489721430083332798e+00,2.355114397999999998e+00
2.489688096749999691e+00,2.359251258000000462e+00
2.489654763416666583e+00,2.359251258000000462e+00
2.489621430083333031e+00,2.359251258000000462e+00
2.489588096749999924e+00,2.355114397999999998e+00
2.489554763416666816e+00,2.361319688000000472e+00
2.489521430083333264e+00,2.355114397999999998e+00
2.489488096749999713e+00,2.355114397999999998e+00
2.489454763416666161e+00,2.363388118000000482e+00
2.489421430083333053e+00,2.359251258000000462e+00
2.489388096749999946e+00,2.357182828000000452e+00
2.489354763416666394e+00,2.355114397999999998e+00
2.489321430083333286e+00,2.355114397999999998e+00
2.489288096750000179e+00,2.355114397999999998e+00
2.489254763416666627e+00,2.361319688000000472e+00
2.489221430083333075e+00,2.355114397999999998e+00
2.489188096749999524e+00,2.361319688000000472e+00
2.489154763416666416e+00,2.355114397999999998e+00
2.489121430083333308e+00,2.355114397999999998e+00
2.489088096749999757e+00,2.361319688000000472e+00
2.489054763416666649e+00,2.355114397999999998e+00
2.489021430083333541e+00,2.355114397999999998e+00
2.488988096749999990e+00,2.357182828000000452e+00
2.488954763416666438e+00,2.357182828000000452e+00
2.488921430083332886e+00,2.359251258000000462e+00
2.488888096749999779e+00,2.361319688000000472e+00
2.488854763416666671e+00,2.355114397999999998e+00
2.488821430083333119e+00,2.361319688000000472e+00
2.488788096750000012e+00,2.359251258000000462e+00
2.488754763416666904e+00,2.357182828000000452e+00
2.488721430083332908e+00,2.355114397999999998e+00
2.488688096749999801e+00,2.355114397999999998e+00
2.488654763416666249e+00,2.355114397999999998e+00
2.488621430083333141e+00,2.363388118000000482e+00
2.488588096750000034e+00,2.359251258000000462e+00
2.488554763416666482e+00,2.359251258000000462e+00
2.488521430083333374e+00,2.361319688000000472e+00
2.488488096750000267e+00,2.361319688000000472e+00
2.488454763416666271e+00,2.355114397999999998e+00
2.488421430083333163e+00,2.361319688000000472e+00
