# Volume (mL), Pressure (Bar)
4.854763416666666234e-03,-1.654744000000000310e-03
4.888096749999999366e-03,2.482116000000000357e-03
4.921430083333332497e-03,-1.654744000000000310e-03
4.954763416666666496e-03,-1.654744000000000310e-03
4.988096749999999628e-03,-3.723174000000000101e-03
5.021430083333332760e-03,-3.723174000000000101e-03
5.054763416666666759e-03,-3.723174000000000101e-03
5.088096749999999890e-03,-3.723174000000000101e-03
5.121430083333333022e-03,4.136860000000000775e-04
5.154763416666666154e-03,-3.723174000000000101e-03
5.188096749999999285e-03,-3.723174000000000101e-03
5.221430083333333284e-03,4.136860000000000775e-04
5.254763416666666416e-03,2.482116000000000357e-03
5.288096749999999548e-03,-3.723174000000000101e-03
5.321430083333332679e-03,-3.723174000000000101e-03
5.354763416666665811e-03,2.482116000000000357e-03
5.388096749999999810e-03,-3.723174000000000101e-03
5.421430083333332942e-03,-5.791604000000000543e-03
5.454763416666666073e-03,-3.723174000000000101e-03
5.488096749999999205e-03,2.482116000000000357e-03
5.521430083333332337e-03,-1.654744000000000310e-03
5.554763416666667203e-03,-1.654744000000000310e-03
5.588096750000000335e-03,2.482116000000000357e-03
5.621430083333333466e-03,-3.723174000000000101e-03
5.654763416666666598e-03,-5.791604000000000543e-03
5.688096749999999729e-03,-3.723174000000000101e-03
5.721430083333332861e-03,-1.654744000000000310e-03
5.754763416666666860e-03,-3.723174000000000101e-03
5.788096749999999992e-03,4.136860000000000775e-04
5.821430083333333123e-03,-3.723174000000000101e-03
5.854763416666666255e-03,-5.791604000000000543e-03
5.888096749999999387e-03,-3.723174000000000101e-03
5.921430083333332518e-03,4.136860000000000775e-04
5.954763416666666517e-03,2.482116000000000357e-03
5.988096749999999649e-03,2.482116000000000357e-03
6.021430083333332781e-03,-3.723174000000000101e-03
6.054763416666665912e-03,-1.654744000000000310e-03
6.088096749999999044e-03,-3.723174000000000101e-03
6.121430083333333910e-03,-5.791604000000000543e-03
6.154763416666667042e-03,-3.723174000000000101e-03
6.188096750000000174e-03,-5.791604000000000543e-03
6.221430083333333305e-03,-3.723174000000000101e-03
6.254763416666666437e-03,2.482116000000000357e-03
6.288096749999999568e-03,-3.723174000000000101e-03
6.321430083333333567e-03,-7.860034000000000118e-03
6.354763416666666699e-03,4.550545999999999931e-03
6.388096749999999831e-03,-3.723174000000000101e-03
6.421430083333332962e-03,-3.723174000000000101e-03
6.454763416666666094e-03,-3.723174000000000101e-03
6.488096749999999226e-03,-1.654744000000000310e-03
6.521430083333333225e-03,-3.723174000000000101e-03
6.554763416666666356e-03,-3.723174000000000101e-03
6.588096749999999488e-03,-3.723174000000000101e-03
6.621430083333332620e-03,-3.723174000000000101e-03
6.654763416666665751e-03,4.136860000000000775e-04
6.688096749999998883e-03,-1.654744000000000310e-03
6.721430083333333749e-03,2.482116000000000357e-03
6.754763416666666881e-03,-5.791604000000000543e-03
6.788096750000000013e-03,-3.723174000000000101e-03
6.821430083333333144e-03,-3.723174000000000101e-03
6.854763416666666276e-03,-3.723174000000000101e-03
6.888096750000000275e-03,2.482116000000000357e-03
6.921430083333333406e-03,-3.723174000000000101e-03
6.954763416666666538e-03,2.482116000000000357e-03
6.988096749999999670e-03,-3.723174000000000101e-03
7.021430083333332801e-03,2.482116000000000357e-03
7.054763416666665933e-03,-1.654744000000000310e-03
7.088096749999999932e-03,-3.723174000000000101e-03
7.121430083333333064e-03,-3.723174000000000101e-03
7.154763416666666195e-03,-3.723174000000000101e-03
7.188096749999999327e-03,-3.723174000000000101e-03
7.221430083333332459e-03,-3.723174000000000101e-03
7.254763416666665590e-03,-3.723174000000000101e-03
7.288096750000000457e-03,-5.791604000000000543e-03
7.321430083333333588e-03,-3.723174000000000101e-03
7.354763416666666720e-03,4.136860000000000775e-04
7.388096749999999852e-03,2.482116000000000357e-03
7.421430083333332983e-03,-5.791604000000000543e-03
7.454763416666666115e-03,4.550545999999999931e-03
7.488096750000000114e-03,-1.654744000000000310e-03
7.521430083333333245e-03,-3.723174000000000101e-03
7.554763416666666377e-03,-5.791604000000000543e-03
7.588096749999999509e-03,-3.723174000000000101e-03
7.621430083333332640e-03,-1.654744000000000310e-03
7.654763416666666639e-03,-3.723174000000000101e-03
7.688096749999999771e-03,4.550545999999999931e-03
7.721430083333332903e-03,-5.791604000000000543e-03
7.754763416666666034e-03,-3.723174000000000101e-03
7.788096749999999166e-03,-3.723174000000000101e-03
7.821430083333332298e-03,-3.723174000000000101e-03
7.854763416666667164e-03,-3.723174000000000101e-03
7.888096750000000296e-03,-3.723174000000000101e-03
7.921430083333333427e-03,-3.723174000000000101e-03
7.954763416666666559e-03,-5.791604000000000543e-03
7.988096749999999691e-03,-3.723174000000000101e-03
8.021430083333332822e-03,-5.791604000000000543e-03
8.054763416666665954e-03,4.136860000000000775e-04
8.088096749999999086e-03,4.550545999999999931e-03
8.121430083333332217e-03,-3.723174000000000101e-03
8.154763416666665349e-03,2.482116000000000357e-03
8.188096749999998480e-03,-1.654744000000000310e-03
8.221430083333331612e-03,4.136860000000000775e-04
8.254763416666666478e-03,2.482116000000000357e-03
8.288096749999999610e-03,-3.723174000000000101e-03
8.321430083333332742e-03,-3.723174000000000101e-03
8.354763416666665873e-03,-3.723174000000000101e-03
8.388096749999999005e-03,-3.723174000000000101e-03
8.421430083333333871e-03,4.136860000000000775e-04
8.454763416666667003e-03,-3.723174000000000101e-03
8.488096750000000135e-03,4.136860000000000775e-04
8.521430083333333266e-03,-1.654744000000000310e-03
8.554763416666666398e-03,-3.723174000000000101e-03
8.588096749999999530e-03,-3.723174000000000101e-03
8.621430083333332661e-03,-3.723174000000000101e-03
8.654763416666665793e-03,4.136860000000000775e-04
8.688096749999998925e-03,-3.723174000000000101e-03
8.721430083333332056e-03,2.482116000000000357e-03
8.754763416666665188e-03,-3.723174000000000101e-03
8.788096749999998319e-03,4.136860000000000775e-04
8.821430083333333186e-03,-3.723174000000000101e-03
8.854763416666666317e-03,2.482116000000000357e-03
8.888096749999999449e-03,2.482116000000000357e-03
8.921430083333332581e-03,2.482116000000000357e-03
8.954763416666665712e-03,-1.654744000000000310e-03
8.988096749999998844e-03,2.482116000000000357e-03
9.021430083333333710e-03,-3.723174000000000101e-03
9.054763416666666842e-03,-3.723174000000000101e-03
9.088096749999999974e-03,2.482116000000000357e-03
9.121430083333333105e-03,-3.723174000000000101e-03
9.154763416666666237e-03,-3.723174000000000101e-03
9.188096749999999369e-03,2.482116000000000357e-03
9.221430083333332500e-03,2.482116000000000357e-03
9.254763416666665632e-03,-1.654744000000000310e-03
9.288096749999998764e-03,-1.654744000000000310e-03
9.321430083333331895e-03,2.482116000000000357e-03
9.354763416666665027e-03,-5.791604000000000543e-03
9.388096749999999893e-03,2.482116000000000357e-03
9.421430083333333025e-03,-3.723174000000000101e-03
9.454763416666666156e-03,-3.723174000000000101e-03
9.488096749999999288e-03,-3.723174000000000101e-03
9.521430083333332420e-03,-3.723174000000000101e-03
9.554763416666665551e-03,-3.723174000000000101e-03
9.588096750000000418e-03,-3.723174000000000101e-03
9.621430083333333549e-03,2.482116000000000357e-03
9.654763416666666681e-03,2.482116000000000357e-03
9.688096749999999813e-03,4.550545999999999931e-03
9.721430083333332944e-03,-3.723174000000000101e-03
9.754763416666666076e-03,4.136860000000000775e-04
9.788096749999999208e-03,-1.654744000000000310e-03
9.821430083333332339e-03,4.136860000000000775e-04
9.854763416666665471e-03,4.136860000000000775e-04
9.888096749999998603e-03,-3.723174000000000101e-03
9.921430083333331734e-03,4.136860000000000775e-04
9.954763416666666601e-03,-1.654744000000000310e-03
9.988096749999999732e-03,-3.723174000000000101e-03
1.002143008333333286e-02,-3.723174000000000101e-03
1.005476341666666600e-02,2.482116000000000357e-03
1.008809674999999913e-02,-3.723174000000000101e-03
1.012143008333333226e-02,-3.723174000000000101e-03
1.015476341666666713e-02,-3.723174000000000101e-03
1.018809675000000026e-02,4.550545999999999931e-03
1.022143008333333339e-02,-3.723174000000000101e-03
1.025476341666666652e-02,4.136860000000000775e-04
1.028809674999999965e-02,2.482116000000000357e-03
1.032143008333333278e-02,4.136860000000000775e-04
1.035476341666666592e-02,-3.723174000000000101e-03
1.038809674999999905e-02,2.482116000000000357e-03
1.042143008333333218e-02,2.482116000000000357e-03
1.045476341666666704e-02,-3.723174000000000101e-03
1.048809674999999844e-02,-5.791604000000000543e-03
1.052143008333333331e-02,-1.654744000000000310e-03
1.055476341666666470e-02,2.482116000000000357e-03
