# Volume (mL), Pressure (Bar)
1.610327416187659955e+00,2.353045967999999988e+00
1.611822874311621190e+00,2.348495422000000055e+00
1.609566033319761225e+00,2.355114397999999998e+00
1.610227416187660188e+00,2.353045967999999988e+00
1.610194082854327080e+00,2.353045967999999988e+00
1.611689540978287871e+00,2.348495422000000055e+00
1.610127416187660421e+00,2.353045967999999988e+00
1.610094082854327313e+00,2.353045967999999988e+00
1.612284635328301574e+00,2.346426992000000045e+00
1.609332699986428139e+00,2.355114397999999998e+00
1.611522874311621001e+00,2.348495422000000055e+00
1.609960749520993550e+00,2.353045967999999988e+00
1.609927416187660443e+00,2.353045967999999988e+00
1.609894082854326891e+00,2.353045967999999988e+00
1.609860749520993783e+00,2.353045967999999988e+00
1.609132699986428605e+00,2.355114397999999998e+00
1.611322874311621023e+00,2.348495422000000055e+00
1.609760749520993572e+00,2.353045967999999988e+00
1.609727416187660021e+00,2.353045967999999988e+00
1.609694082854326913e+00,2.353045967999999988e+00
1.609660749520993805e+00,2.353045967999999988e+00
1.609627416187660254e+00,2.353045967999999988e+00
1.609594082854327146e+00,2.353045967999999988e+00
1.608866033319761080e+00,2.355114397999999998e+00
1.610361231532997817e+00,2.350563852000000509e+00
1.608799366653094864e+00,2.355114397999999998e+00
1.608071435163062279e+00,2.357182828000000452e+00
1.609427416187660276e+00,2.353045967999999988e+00
1.609394082854327168e+00,2.353045967999999988e+00
1.608666033319761546e+00,2.355114397999999998e+00
1.609327416187660509e+00,2.353045967999999988e+00
1.608599366653094442e+00,2.355114397999999998e+00
1.609260749520993405e+00,2.353045967999999988e+00
1.610756207644954641e+00,2.348495422000000055e+00
1.608499366653094675e+00,2.355114397999999998e+00
1.607771435163062534e+00,2.357182828000000452e+00
1.608432699986428460e+00,2.355114397999999998e+00
1.608399366653094908e+00,2.355114397999999998e+00
1.609894564866331201e+00,2.350563852000000509e+00
1.609027416187659876e+00,2.353045967999999988e+00
1.608994082854326768e+00,2.353045967999999988e+00
1.608960749520993661e+00,2.353045967999999988e+00
1.608232699986428038e+00,2.355114397999999998e+00
1.608199366653094931e+00,2.355114397999999998e+00
